44136131;1236;38;7;24;14;13;17
48804372;1236;18;9;33;11;36;25
32317943;1236;24;14;4;21
29132007;1234;20;25;8;22;9;36
22258542;1235;12;31;30;4;26;7
36295594;1236;11;21;40;1;32
33929238;1236;2;5;38;21;0
46313339;1236;26;31;4;3;16;39
10357624;1236;25;19;35;18;15
37898312;1235;5;12;10;41;33;40
57671160;1234;34;37;5;25;28;20
15919526;1236;19;3;34;8;40
26046192;1235;14;6;32;38;19;0
30085956;1236;20;17;1;36;16;11
37387546;1234;4;27;18;9;2;30
55917889;1236;33;30;5;31;15;36
15974542;1235;23;13;29;18;17;26
11461159;1235;30;8;36;7;10;21
15419595;1235;28;32;1;31;39;17
38098739;1236;17;22;4;15;36;21
51415319;1236;11;39;23;10;35
44957437;1236;16;26;33;41;39;34
49961911;1235;18;19;1;29;35
28625746;1235;24;39;11;35;20;36
43168070;1234;13;17;15;10;23
14755463;1234;23;16;36;11;26;12
31955638;1236;31;7;25;35;2
15318109;1236;24;39;14;40;5;30
18686579;1234;19;14;35;26;3;23
32283978;1234;19;9;12;15;16;5
36339885;1236;10;31;6;28;5;18
51208191;1235;31;5;11;7;22;21
50264036;1234;32;31;13;38;29
44859380;1236;32;12;23;3;31;15
25441957;1236;7;40;18;5;17
40176057;1235;10;40;39;2;34;1
34482658;1236;20;25;23;38;14;0
53912721;1234;25;19;23;36;13;34
24636000;1235;32;12;20;41;33;25
37758071;1235;31;37;28;40;39;19
15506218;1235;16;13;5;27;34;18
11709373;1236;31;17;39
26424819;1236;33;21;5;13;20
34245922;1234;31;4;41;3;30;35
33396635;1235;29;8;2;34;15;14
55106696;1234;9;33;21;16;26;17
49497025;1234;33;13;39;20;17;1
13768300;1234;19;24;11;37;34;5
32914649;1235;22;15;24;27;13;41
28690767;1236;33;39;28;35;40;30
51185892;1235;6;8;12;2;14
30497248;1235;25;0;29;22;11;18
42832555;1236;33;36;5;38;25;8
50910887;1235;21;41;24;16;32;26
31707778;1234;2;27;41;12;36;15
21446165;1234;10;34;1;31
54780785;1235;20;4;18;9;41
20699745;1235;36;28;2;6;35;38
56017024;1234;19;5;24;13;25;41
41849978;1236;3;17;39;11;18;38
13664469;1236;0;32;4;14;15;41
42833054;1235;27;16;4;13;0
27138374;1235;37;33;15;35;0;19
48147703;1236;11;18;40;0;24;14
37333301;1234;23;30;33;24;18
23757789;1234;29;38;1;26;28;3
36608399;1235;36;6;13;34;23;17
27898562;1235;19;33;34;1;9;10
30512592;1235;40;37;39;16;21;15
44081086;1234;18;21;13;26;28;11
34452175;1236;13;26;7;22;12
44399697;1235;26;1;40;27
45316367;1236;9;38;6;35;4
17451685;1234;32;37;28;39;2
24933745;1236;15;25;31;29;3
12330243;1235;14;16;29;15;39;6
39708853;1234;14;30;18;23;33;27
43804501;1235;1;18;19;24;31;25
31476730;1235;25;10;18;16;36
32779651;1234;17;27;4;3
50017220;1236;27;25;15;34;28;31
44166901;1234;27;10;41;14;13
41539458;1234;15;2;16;32;19;35
23050999;1236;20;37;14;12;8;7
32329574;1234;37;34;6;4;25;32
32750437;1235;31;22;30;38;33;23
31893483;1236;38;19;31;24;11;36
44541512;1234;40;32;24;9;37;33
33347757;1234;30;33;8;27;35;15
58281627;1235;17;12;35;21;23;30
37982130;1235;12;16;8;2;26;14
14024868;1234;41;22;29;33;23;11
27245166;1235;31;39;25;11;7;4
13413023;1235;33;37;8;36;27;30
28780066;1236;15;8;24;18;2
15019150;1234;8;16;31;32;30;17
43939856;1236;7;26;21;25
47638442;1235;16;8;39;10;38
38213783;1235;37;13;39;3;21;24
41482362;1236;24;26;7;13;31
35793924;1235;41;10;19;34;28
31066891;1235;13;16;1;5;28
37263168;1235;6;31;4;20;24;1
49797976;1235;30;5;26;25;13
46344516;1234;41;6;33;12;2;8
30146971;1236;29;31;11;33;16;28
37741498;1234;27;21;38;3;7;8
29778682;1235;22;15;1;11;33;36
39259418;1235;11;34;32;38;12;16
47194844;1235;0;7;30;16;40;5
48665975;1235;36;27;1;2;35;6
16188782;1235;33;25;36;30;13;31
23511521;1235;20;35;31;19;0;40
36573095;1234;28;33;26;19;5
14212277;1235;30;31;39;0;24;17
10088935;1236;3;20;0;7;38;37
37572699;1235;27;23;21;22;24;32
39486466;1234;8;34;23;22;12
25089378;1235;33;20;1;17;3
10828320;1235;20;22;5;24;38;34
55648769;1234;39;9;35;33;22;28
52957407;1235;15;30;37;24;26;9
31358144;1234;12;15;38;14;6;16
40539642;1234;12;38;0;17;24;40
36677065;1235;5;24;12;28;17
30911839;1236;25;11;3;1;39;6
40804746;1236;40;30;7;14;8
35712422;1235;18;32;9;12;8;30
31992691;1236;23;32;16;8;35;28
13282838;1235;33;1;28;14;15
39020653;1235;34;19;20;11
18931981;1235;40;26;28;20;22;16
48539148;1235;14;21;12;10;37;2
20557459;1236;40;2;41;12
16588677;1234;37;16;32;36;33;9
14093500;1235;9;20;24;19;41;13
33628118;1236;8;13;15;0;38;3
57160326;1236;20;31;38;34;14;24
52025670;1235;40;37;19;5;8;10
24617986;1234;13;3;37;5;33;34
20361198;1235;19;20;32;30;38;14
23147860;1235;13;30;6;10;36
59633144;1234;7;37;13;26;30;5
14209507;1235;16;4;35;39;29
38410594;1234;7;1;17;20;2
31358525;1234;37;14;31;22;35;8
44508970;1235;18;13;31;25;14;16
28997962;1234;31;41;5;12;4;3
14690743;1235;30;0;27;37;7
55154690;1234;0;18;31;40;6;39
13322867;1236;2;9;1;21;5;40
36093765;1235;40;11;2;1;36;14
59811714;1235;21;20;5;29;14
25291979;1234;35;20;36;24;27;25
18135420;1236;6;12;16;22;11;27
20529392;1235;7;40;22;12;29
21312188;1236;37;8;21;32;19;27
52401538;1235;40;20;39;25;14
42951055;1235;23;8;12;10;39
39319639;1234;1;12;33;16;17;26
44869568;1235;25;35;22;5;37
31898984;1236;38;11;34;32;4;8
30046266;1236;4;30;32;5;23;7
11278023;1234;17;33;22;7;2;41
18697088;1235;41;20;11;31;0;6
23598206;1234;2;16;10;1;17;0
22789459;1236;16;26;13;17;18;27
43888550;1234;31;40;29;30;36;15
20878470;1235;31;34;4;13;15;22
25137834;1235;6;5;18;20;14;31
40360780;1234;24;37;35;3;18
19602260;1235;21;33;3;28;36;29
51471189;1236;19;24;10;28;16;11
20080374;1236;5;29;23;25;39;12
55613436;1235;14;22;2;18;3
24083307;1235;7;20;5;3;17;8
50162220;1236;20;16;35;22;14;7
25126519;1236;5;8;20;35;37;25
16839843;1235;13;33;1;12;17;26
51196866;1235;28;18;27;8;26
49892302;1235;5;26;29;31;10;27
12844016;1236;3;33;11;4;34;16
44987315;1234;8;21;33;24;7;10
51318655;1234;18;28;2;40;39
25859928;1236;34;16;0;14;29;25
47042599;1235;31;29;40;14;1;34
41060381;1235;0;11;17;9;1;36
49632495;1236;31;14;30;22;37;33
21529125;1235;38;18;35;19;8;15
33105458;1234;25;6;10;18;2
39804322;1235;34;17;38;24;3;30
10059691;1236;15;2;25;4
29504683;1236;8;1;16;3;38;2
29516853;1235;15;19;7;17;2;1
58079335;1236;7;24;2;9;40
27253243;1234;7;20;29;24;2;11
51195571;1234;24;36;10;1;6
52270214;1234;33;12;16;9;34
33245690;1236;7;32;21;28;8;31
52892097;1236;13;31;5;10;17;41
42342336;1235;20;10;23;30;21;33
16477026;1236;17;6;23;33;32
47484487;1235;28;9;37;21;26;31
28890013;1236;25;35;4;26;28;14
42644092;1236;4;3;16;31;1
26758456;1234;25;39;21;4;15;8
14321724;1236;14;5;18;7;39
44879141;1235;15;41;14;40;25
15518981;1235;11;27;4;18;39;31
50419142;1235;1;34;0;20;3
54687155;1236;2;4;37;7;3;39
41027794;1236;3;38;1;37;14;36
39733136;1234;18;29;28;20;33;31
29584343;1234;10;3;27;12;6;38
55867739;1234;41;30;21;20;26;8
15304978;1235;12;35;1;36;40
39832092;1236;4;28;9;31;41;0
34710780;1235;29;9;20;14;32;35
26359846;1236;39;11;30;15;8
54087422;1236;19;33;18;28;30;16
46163502;1235;20;31;34;15;9;27
